,edad-actual,edad-morir,hijes-tenes,gestacion-aborto,gestacion-persona,genero-coincide,morir-cuerpo,morir-redes,miedo-propia,miedo-resto,muerte-experiencia,muerte-eutanasia,firstTime,hijes-gustaria,hijes-volveria
308,25,84,0,13,28,100,70,15,51,73,25,100,True,0.0,
309,39,90,1,4,12,100,100,0,0,100,100,100,True,,98.0
310,25,130,0,20,42,62,0,100,37,58,14,100,True,0.0,
311,30,80,0,14,40,100,73,0,62,69,74,100,True,74.0,
312,24,90,0,8,0,100,0,0,100,100,29,100,True,79.0,
313,29,130,0,15,0,100,0,0,43,75,24,75,True,62.0,
314,23,60,0,30,42,100,100,0,0,11,80,100,True,0.0,
315,23,82,0,8,30,80,32,51,38,100,17,100,True,0.0,
316,34,87,0,12,42,100,65,27,100,100,51,100,True,73.0,
317,33,90,0,24,42,100,73,1,21,69,64,100,True,100.0,
318,49,95,1,30,40,100,0,40,100,100,18,100,True,,100.0
319,29,95,0,42,42,100,6,52,61,93,25,83,True,57.0,
320,32,118,0,8,0,100,0,0,13,71,0,74,True,62.0,
321,31,91,0,8,0,100,28,65,57,76,47,100,True,100.0,
322,18,38,0,2,36,90,67,57,23,63,63,100,True,0.0,
323,46,90,1,14,14,86,0,100,12,12,13,87,True,,8.0
324,42,80,1,0,0,100,0,0,0,52,100,100,True,,100.0
325,37,115,0,20,24,100,0,0,100,100,20,100,True,0.0,
326,23,80,0,16,38,49,77,6,65,82,79,99,True,29.0,
327,27,93,0,12,42,100,0,0,29,86,75,86,True,72.0,
328,23,87,0,14,20,100,29,4,100,100,70,100,True,100.0,
329,29,91,0,24,42,100,0,100,76,100,19,100,True,52.0,
330,41,90,0,7,40,94,50,63,84,96,13,87,True,82.0,
331,32,89,0,15,42,100,61,100,0,100,100,100,True,26.0,
332,23,90,0,42,42,100,0,0,23,65,100,100,True,0.0,
333,24,95,0,5,42,100,20,20,65,90,48,100,True,21.0,
334,34,93,0,17,42,88,74,11,100,100,50,100,True,50.0,
335,65,80,1,0,16,99,46,0,70,70,67,97,True,,100.0
336,36,107,1,14,42,100,0,0,0,0,0,100,True,,100.0
337,43,85,0,14,40,100,0,0,22,92,18,100,True,63.0,
338,32,100,0,10,42,100,100,100,0,100,100,100,True,6.0,
339,38,85,1,12,42,100,0,0,57,100,0,100,True,,100.0
340,27,97,0,12,41,100,74,27,46,94,78,95,True,56.0,
341,35,50,0,12,30,100,0,0,75,100,80,100,True,21.0,
342,30,85,0,28,42,82,3,2,14,46,100,100,True,2.0,
343,23,27,0,16,8,61,0,3,36,60,100,99,True,28.0,
344,26,106,0,12,12,100,70,58,69,100,50,100,True,70.0,
345,35,100,0,12,42,83,32,68,49,87,76,100,True,33.0,
346,23,24,0,13,42,100,79,0,0,60,34,100,True,0.0,
347,24,87,0,12,35,81,28,19,20,73,80,75,True,6.0,
348,21,100,0,38,42,100,0,0,22,51,14,100,True,100.0,
349,29,94,0,42,42,100,100,100,52,100,0,100,True,100.0,
350,23,86,0,42,42,93,16,39,13,91,3,100,True,89.0,
351,32,95,1,10,0,100,68,12,23,52,100,100,True,,100.0
